Name,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550,555,560,565,570,575,580,585,590,595,600,605,610,615,620,625,630,635,640,645,650,655,660,665,670,675,680,685,690,695,700,
088 Lime Green,2.788,1.852,1.292,0.971,0.802,0.756,0.818,1.008,1.345,1.915,2.92,4.925,8.975,17.067,30.723,48.066,64.656,75.761,81.245,84.225,86.998,89.176,89.234,87.079,85.291,84.626,85.734,86.861,86.762,84.705,81.516,78.348,75.549,73.847,72.033,69.768,67.234,63.986,60.564,56.32,52.643,50.22,48.424,47.101,46.411,46.496,47.172,48.168,49.033,49.056,47.073,42.926,37.634,34.068,32.792,34.415,39.172,46.669,55.015,62.572,,
089 Moss Green,2.769,2.4,2.103,1.899,1.754,1.702,1.757,1.919,2.2,2.656,3.382,4.619,6.644,9.875,14.587,20.539,27.289,33.835,39.815,44.961,49.406,52.573,54.074,54.206,53.819,53.16,52.308,50.121,46.606,42.442,38.233,34.131,29.819,25.515,21.613,18.019,15.212,12.575,10.266,8.136,6.485,5.427,4.842,4.525,4.447,4.625,4.954,5.407,5.755,5.813,5.415,4.612,3.761,3.348,3.381,4.008,5.603,8.574,12.872,18.161,,
090 Dark Yellow Green,0.204,0.245,0.275,0.303,0.324,0.331,0.347,0.371,0.408,0.478,0.584,0.76,1.042,1.524,2.376,3.803,6.118,9.537,13.884,18.411,22.68,26.322,28.437,29.118,28.79,27.208,24.833,21.804,18.234,14.398,10.758,7.465,4.808,2.934,1.774,1.045,0.633,0.371,0.204,0.104,0.053,0.03,0.02,0.015,0.016,0.017,0.019,0.022,0.029,0.028,0.027,0.018,0.012,0.01,0.01,0.01,0.015,0.038,0.109,0.305,,
100 Spring Yellow,0.107,0.053,0.03,0.022,0.021,0.021,0.025,0.03,0.049,0.085,0.173,0.444,1.37,4.652,13.836,30.783,51.688,69.188,80.578,85.731,87.009,87.123,87.444,88.172,89.731,90.65,91.115,90.756,89.847,88.773,87.757,87.331,87.325,87.911,88.601,88.896,89.055,88.408,87.514,86.117,84.779,84.067,84.056,84.272,84.386,84.892,85.167,85.204,85.047,84.102,82.474,79.606,75.793,73.021,71.551,71.722,74.247,78.403,81.442,84.469,,
101 Yellow,0.045,0.025,0.017,0.013,0.012,0.01,0.01,0.012,0.019,0.026,0.045,0.099,0.258,0.797,2.421,6.22,12.932,21.55,31.336,41.543,50.802,57.917,63.264,67.84,72.647,76.735,79.536,81.136,82.194,83.031,84.096,84.877,85.977,86.416,86.732,87.299,87.607,87.891,88.117,87.946,87.559,87.171,87.409,87.309,87.806,88.661,89.308,89.405,89.59,88.782,87.926,87.164,86.792,87.075,87.611,88.46,89.555,90.634,90.911,91.109,,
102 Light Amber,11.036,9.016,7.561,6.537,5.855,5.501,5.503,5.833,6.508,7.484,8.915,11.087,14.277,18.734,24.004,29.122,33.415,36.503,38.93,41.267,44.031,47.309,50.763,53.632,56.074,58.877,63.202,69.132,76.164,82.576,87.148,89.16,88.828,87.923,87.276,87.87,89.526,91.593,92.876,92.695,91.591,89.598,88.215,87.617,87.739,89.345,91.377,93.225,94.327,94.125,92.975,91.689,90.113,89.501,89.524,90.048,91.623,93.87,95.311,96.28,,
103 Straw,55.429,54.506,54.397,54.674,54.588,54.713,55.09,55.189,54.787,53.933,53.426,54.355,56.216,58.552,60.411,61.229,61.378,61.665,63.228,66.036,69.018,71.993,74.175,74.907,75.091,74.922,75.252,76.427,78.649,81.51,84.307,86.541,87.95,88.637,89.28,89.889,90.408,90.956,91.162,90.673,90.164,89.958,89.61,89.691,90.013,91.019,91.612,92.355,92.891,92.407,91.969,91.04,90.07,88.988,88.588,88.402,88.842,89.742,90.822,92.632,,
104 Deep Amber,0.761,0.48,0.318,0.233,0.185,0.168,0.177,0.21,0.279,0.398,0.617,1.057,1.949,3.744,6.788,10.823,14.915,18.047,20.576,23.144,25.997,29.282,32.373,35.07,37.625,41.452,47.071,54.437,62.035,68.298,72.65,75.631,78.349,81.021,83.182,84.297,84.184,83.201,82.003,80.853,80.493,81.475,82.969,84.511,85.612,86.241,85.609,84.492,83.304,82.115,81.426,81.556,81.938,82.94,84.07,84.737,85.323,85.659,85.45,85.461,,
105 Orange,0.386,0.349,0.335,0.333,0.338,0.344,0.341,0.329,0.312,0.3,0.303,0.319,0.344,0.393,0.465,0.574,0.729,0.939,1.211,1.567,2.058,2.788,3.839,5.147,6.549,7.864,9.294,11.53,15.558,22.418,32.363,44.562,56.637,66.252,72.379,75.7,77.491,79.025,80.813,82.553,83.939,84.416,83.9,83.217,82.296,82.493,82.922,84.236,85.613,86.269,86.52,85.799,84.952,84.271,83.886,84.082,84.942,86.124,87.428,88.391,,
106 Primary Red,0.287,0.323,0.344,0.358,0.361,0.358,0.33,0.287,0.237,0.183,0.133,0.095,0.065,0.046,0.031,0.024,0.015,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.013,0.02,0.031,0.052,0.086,0.135,0.232,0.45,1.021,2.225,4.716,9.248,16.427,25.917,36.552,46.317,54.149,59.985,64.725,67.973,70.392,71.949,73.12,74.375,75.286,75.849,76.239,76.946,77.624,78.629,79.936,80.597,81.051,,
